Organism Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Enterobacter ludwigii  	strain: 11894-yvys	299767	ASM2302310v1	GCF_023023105.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4694942	4834764	2022-04-18	4680	PRJNA762162	SAMN21379555
Enterobacter mori  	strain: HSW1412	539813	ASM1570867v1	GCF_015708675.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4733305	4930410	2020-12-01	4743	PRJNA663366	SAMN16131364
Enterobacter mori  	strain: 08-091	539813	ASM1863879v1	GCF_018638795.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4772939	4986313	2021-06-02	4696	PRJNA703085	SAMN18011300
Enterobacter mori  	strain: CX01	539813	ASM1920394v1	GCF_019203945.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4966908	4966908	2021-07-13	4703	PRJNA638257	SAMN15184663
Enterobacter mori  	strain: BC01	539813	ASM2049408v1	GCF_020494085.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4818618	4818618	2021-10-14	4569	PRJNA757901	SAMN20982344
Enterobacter mori  	strain: ACYC.E9L	539813	ASM2201471v1	GCF_022014715.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4740236	4844012	2022-02-06	4595	PRJNA801791	SAMN25390741
Enterobacter mori  	strain: JT.W3M11	539813	ASM2524490v1	GCF_025244905.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4786692	4786692	2022-09-18	4518	PRJNA877372	SAMN30697280
Enterobacter oligotrophicus  	strain: CCA6	2478464	ASM917664v1	GCF_009176645.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4476585	4476585	2019-03-18	4261	PRJDB7530	SAMD00143594
Enterobacter quasihormaechei  	strain: WCHEQ120003	2529382	ASM433138v1	GCF_004331385.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	214685	4556005	2019-03-06	4338	PRJNA415108	SAMN10995773
Enterobacter quasimori  	strain: 120130	2838947	ASM1859734v1	GCF_018597345.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	809493	4639953	2021-05-30	4430	PRJNA415108	SAMN19314277
Enterobacter quasiroggenkampii  	strain: 090040	2497436	ASM396480v1	GCF_003964805.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	515146	4788302	2018-12-23	4583	PRJNA415108	SAMN10525003
Enterobacter roggenkampii  	strain: 35734	1812935	ASM80741v4	GCF_000807415.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5017289	5276896	2015-08-18	5063	PRJNA259658	SAMN03067419
Enterobacter roggenkampii  	strain: DSM 16690	1812935	ASM172980v1	GCF_001729805.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4748414	4899997	2016-09-16	4644	PRJNA259658	SAMN05581750
Enterobacter roggenkampii  	strain: R11	1812935	ASM200780v1	GCF_002007805.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4812230	4993008	2017-02-28	4789	PRJNA374469	SAMN06323809
Enterobacter roggenkampii  	strain: 704SK10	1812935	ASM221168v1	GCF_002211685.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4876946	5051588	2017-06-30	4882	PRJNA391277	SAMN07260410
Enterobacter roggenkampii  	strain: FDAARGOS_523	1812935	ASM381214v1	GCF_003812145.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4879214	5190521	2018-11-21	5067	PRJNA231221	SAMN10163217
Enterobacter roggenkampii  	strain: ECY546	1812935	ASM413860v1	GCF_004138605.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4787919	4996659	2019-02-05	4801	PRJNA494999	SAMN10188240
Enterobacter roggenkampii  	strain: BP10374	1812935	ASM468436v1	GCF_004684365.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4851717	4851717	2019-04-07	4673	PRJNA529775	SAMN11283933
Enterobacter roggenkampii  	strain: WCHER090065	1812935	ASM918476v2	GCF_009184765.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4872204	4954923	2019-11-07	4815	PRJNA415108	SAMN12995719
Enterobacter roggenkampii  	strain: ED5	1812935	ASM1338941v1	GCF_013389415.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4698609	4702851	2020-07-05	4437	PRJNA640376	SAMN15329677
Enterobacter roggenkampii  	strain: KQ-01	1812935	ASM1340354v1	GCF_013403545.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4667006	4667006	2020-07-13	4408	PRJNA644454	SAMN15460797
Enterobacter roggenkampii  	strain: RHBSTW-00002	1812935	ASM1363575v1	GCF_013635755.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4485767	4807289	2020-07-24	4727	PRJNA605147	SAMN15148444
Enterobacter roggenkampii  	strain: RHBSTW-00925	1812935	ASM1372599v1	GCF_013725995.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4793062	4990295	2020-07-27	4812	PRJNA605147	SAMN15148745
Enterobacter roggenkampii  	strain: RHBSTW-00872	1812935	ASM1372893v1	GCF_013728935.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4844952	4987110	2020-07-27	4842	PRJNA605147	SAMN15148725
Enterobacter roggenkampii  	strain: RHBSTW-00695	1812935	ASM1373339v1	GCF_013733395.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4770039	5009672	2020-07-27	4923	PRJNA605147	SAMN15148685
Enterobacter roggenkampii  	strain: RHBSTW-00309	1812935	ASM1374261v1	GCF_013742615.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5094430	5365511	2020-07-27	5251	PRJNA605147	SAMN15148567
Enterobacter roggenkampii  	strain: Ed-982	1812935	ASM1449082v1	GCF_014490825.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4815629	4938706	2020-09-08	4737	PRJNA659403	SAMN15905310
Enterobacter roggenkampii  	isolate: enterobacter cloacae	1812935	ASM1449084v1	GCF_014490845.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4852868	4986223	2020-09-08	4781	PRJNA659404	SAMN15905311
Enterobacter roggenkampii  	strain: Ecl_20_981	1812935	ASM1452450v1	GCF_014524505.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5080469	5250962	2020-09-11	5071	PRJNA602106	SAMN13881485
Enterobacter roggenkampii  	strain: STW0522-66	1812935	ASM1513631v1	GCF_015136315.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4981445	5377515	2020-10-08	5256	PRJDB9036	SAMD00195906
Enterobacter roggenkampii  	strain: OIPH-N260	1812935	ASM1675665v1	GCF_016756655.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4907868	5487998	2021-01-04	5394	PRJDB10185	SAMD00235761
Enterobacter roggenkampii  	strain: FDAARGOS 1430	1812935	ASM1904702v1	GCF_019047025.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4748459	4917276	2021-06-28	4654	PRJNA231221	SAMN16357572
Enterobacter roggenkampii  	strain: POL1	1812935	ASM2088195v1	GCF_020881955.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4812194	4976557	2021-11-16	4768	PRJNA777725	SAMN22871631
Enterobacter roggenkampii  	strain: F1057	1812935	ASM2134760v1	GCF_021347605.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4684108	4809110	2022-01-03	4585	PRJNA776551	SAMN22799449
Enterobacter roggenkampii  	strain: 13840-yvys	1812935	ASM2302306v1	GCF_023023065.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4751153	4845874	2022-04-18	4688	PRJNA762162	SAMN21379557
Enterobacter roggenkampii  	strain: 12795-yvys	1812935	ASM2302368v1	GCF_023023685.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4753851	5121549	2022-04-18	4913	PRJNA762162	SAMN21379549
Enterobacter roggenkampii  	isolate: C3-17	1812935	ASM2319571v1	GCF_023195715.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4740531	5049045	2022-05-01	4939	PRJNA473419	SAMN27117675
Enterobacter roggenkampii  	strain: K475-2	1812935	ASM2337556v1	GCF_023375565.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4786392	5192835	2022-05-16	4989	PRJNA823881	SAMN27363725
Enterobacter roggenkampii  	strain: K666	1812935	ASM2337558v1	GCF_023375585.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4928409	5192282	2022-05-16	5073	PRJNA823881	SAMN27363726
Enterobacter roggenkampii  	strain: Ek140	1812935	ASM2337562v1	GCF_023375625.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4959128	5160484	2022-05-16	4957	PRJNA823881	SAMN27363776
Enterobacter roggenkampii  	strain: GD21SC1505	1812935	ASM2365087v1	GCF_023650875.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4780540	4978945	2022-06-06	4922	PRJNA797191	SAMN24967284
Enterobacter roggenkampii  	strain: RX.G5M56	1812935	ASM2502148v1	GCF_025021485.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4772201	4772201	2022-09-07	4532	PRJNA875571	SAMN30618652
Enterobacter roggenkampii  	strain: KAM546	1812935	ASM2599991v1	GCF_025999915.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4576220	4758695	2022-10-11	4709	PRJDB13144	SAMD00535933
Enterobacter sichuanensis  	strain: SGAir0282	2071710	ASM903624v1	GCF_009036245.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4711389	4711389	2019-10-16	4508	PRJNA388547	SAMN08222714
Enterobacter soli  	strain: LF7a	885040	ASM22467v1	GCF_000224675.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4812833	5012132	2011-08-30	4783	PRJNA41509	SAMN02232020
Enterobacter vonholyi  	strain: E13	2797505	ASM836455v1	GCF_008364555.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	339748	4590282	2019-09-09	4409	PRJNA559804	SAMN12560202
Enterobacter wuhouensis  	strain: WCHEW120002	2529381	ASM433126v1	GCF_004331265.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	547377	4897369	2019-03-06	4708	PRJNA415108	SAMN10995772
Escherichia albertii  	strain: KF1	1440052	ASM51212v1	GCF_000512125.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4701875	4701875	2013-12-30	4622	PRJNA232181	SAMN02641387
Escherichia albertii  	strain: EC06-170	208962	ASM154995v1	GCF_001549955.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4657167	4657167	2015-11-19	4496	PRJDB3047	SAMD00026637
Escherichia albertii  	strain: NIAH_Bird_3	208962	ASM228545v1	GCF_002285455.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4560575	4560575	2015-11-06	4323	PRJDB3047	SAMD00026650
Escherichia albertii  	strain: CB9786	208962	ASM228547v1	GCF_002285475.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4598983	4598983	2015-11-06	4484	PRJDB3047	SAMD00026629
Escherichia albertii  	strain: 2014C-4356	208962	ASM274137v1	GCF_002741375.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4852165	5336845	2017-11-02	5306	PRJNA218110	SAMN07159041
Escherichia albertii  	strain: ChinaSP140150	208962	ASM287245v1	GCF_002872455.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4881553	5136766	2018-01-11	5138	PRJNA427641	SAMN08242133
Escherichia albertii  	strain: 1551-2	208962	ASM289520v1	GCF_002895205.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4730877	4730877	2018-01-22	4589	PRJNA421872	SAMN08159313
Escherichia albertii  	strain: 05-3106	208962	ASM331248v2	GCF_003312485.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4719735	4856970	2018-12-06	4757	PRJNA218110	SAMN08199278
Escherichia albertii  	strain: 2012EL-1823B	208962	ASM331252v2	GCF_003312525.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4809821	5097144	2018-12-06	5086	PRJNA218110	SAMN04498560
Escherichia albertii  	strain: 2013C-4143	208962	ASM331254v2	GCF_003312545.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4659709	4659709	2018-12-06	4636	PRJNA218110	SAMN08172567
Escherichia albertii  	strain: 07-3866	208962	ASM331681v2	GCF_003316815.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4940006	5044275	2018-12-06	4954	PRJNA218110	SAMN07159045
Escherichia albertii  	strain: 06-3542	208962	ASM386036v1	GCF_003860365.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4709095	4804778	2018-12-04	4710	PRJNA218110	SAMN07169274
Escherichia albertii  	strain: 2014C-4015	208962	ASM386038v1	GCF_003860385.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4623903	4920619	2018-12-04	4857	PRJNA218110	SAMN04505646
Escherichia albertii  	strain: 2010C-3449	208962	ASM386407v1	GCF_003864075.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4923641	4923641	2018-12-05	4952	PRJNA218110	SAMN07159044
Escherichia albertii  	strain: NCTC 9362	208962	ASM386409v1	GCF_003864095.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4551125	4591305	2018-12-05	4688	PRJNA218110	SAMN09534374
Escherichia albertii  	strain: Sample 169	208962	ASM1690471v2	GCF_016904715.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4752866	5050051	2021-03-10	5042	PRJNA693666	SAMN17525960
Escherichia albertii  	strain: Sample 170	208962	ASM1690473v2	GCF_016904735.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4752867	5050052	2021-03-10	5043	PRJNA693666	SAMN17525961
Escherichia albertii  	strain: Sample 167	208962	ASM1690475v2	GCF_016904755.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4535317	4631903	2021-03-10	4474	PRJNA693666	SAMN17525958
Escherichia albertii  	strain: Sample 168	208962	ASM1690477v2	GCF_016904775.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4761984	4906223	2021-03-10	4907	PRJNA693666	SAMN17525959
Escherichia albertii  	strain: Sample 166	208962	ASM1690479v2	GCF_016904795.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4819744	5111119	2021-03-10	5103	PRJNA693666	SAMN17525957
Escherichia albertii  	strain: Sample 165	208962	ASM1690481v2	GCF_016904815.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4801936	5318295	2021-03-10	5301	PRJNA693666	SAMN17525956
Escherichia albertii  	strain: RM10507	208962	ASM1735768v1	GCF_017357685.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5007500	5251051	2021-03-16	5209	PRJNA561565	SAMN12620694
Escherichia albertii  	strain: RM9976	208962	ASM1735770v1	GCF_017357705.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4976140	5346483	2021-03-16	5325	PRJNA561565	SAMN12620693
Escherichia albertii  	strain: RM9974	208962	ASM1735772v1	GCF_017357725.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4863808	5219063	2021-03-16	5278	PRJNA561565	SAMN12620692
Escherichia albertii  	strain: RM9973	208962	ASM1735774v1	GCF_017357745.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4648335	4855768	2021-03-16	4708	PRJNA561565	SAMN12620691
Escherichia albertii  	strain: 254_1_EW_B	208962	ASM2453205v1	GCF_024532055.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4859416	5087663	2022-08-04	4949	PRJNA852350	SAMN29328122
Escherichia albertii  	strain: 253_2_EW_B	208962	ASM2453207v1	GCF_024532075.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4700965	4884414	2022-08-04	4770	PRJNA852350	SAMN29328121
Escherichia albertii  	strain: 251_2_EW_B	208962	ASM2453209v1	GCF_024532095.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4715484	4904544	2022-08-04	4795	PRJNA852350	SAMN29328120
Escherichia albertii  	strain: 247_2_EW_B	208962	ASM2453211v1	GCF_024532115.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4715277	4918594	2022-08-04	4815	PRJNA852350	SAMN29328119
Escherichia albertii  	strain: 233_2_GWG_B	208962	ASM2453213v1	GCF_024532135.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4865520	5051786	2022-08-04	4927	PRJNA852350	SAMN29328118
Escherichia albertii  	strain: 231_1_NP_B	208962	ASM2453215v1	GCF_024532155.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4858369	5057760	2022-08-04	4925	PRJNA852350	SAMN29328117
Escherichia albertii  	strain: 222_1_EW_B	208962	ASM2453217v1	GCF_024532175.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4887676	4887676	2022-08-04	4815	PRJNA852350	SAMN29328116
Escherichia albertii  	strain: 208_2_GWG_B	208962	ASM2453219v1	GCF_024532195.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4716147	4905118	2022-08-04	4799	PRJNA852350	SAMN29328115
Escherichia albertii  	strain: 205_2_TBG_B	208962	ASM2453222v1	GCF_024532225.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4752472	4799087	2022-08-04	4769	PRJNA852350	SAMN29328114
Escherichia albertii  	strain: 155_2_TBG_A	208962	ASM2453224v1	GCF_024532245.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4715676	4921642	2022-08-04	4816	PRJNA852350	SAMN29328113
Escherichia albertii  	strain: 153_2_TBG_A	208962	ASM2453226v1	GCF_024532265.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4715625	4919799	2022-08-04	4809	PRJNA852350	SAMN29328112
Escherichia albertii  	strain: 147_1_TBG_A	208962	ASM2453230v1	GCF_024532305.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4718897	4993500	2022-08-04	4945	PRJNA852350	SAMN29328111
Escherichia albertii  	strain: 133_1_GWG_A	208962	ASM2453232v1	GCF_024532325.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4901087	5122791	2022-08-04	5004	PRJNA852350	SAMN29328110
Escherichia albertii  	strain: 121_1_EW_A	208962	ASM2453234v1	GCF_024532345.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4690256	4690256	2022-08-04	4531	PRJNA852350	SAMN29328109
Escherichia albertii  	strain: 112_1_EW_A	208962	ASM2453236v1	GCF_024532365.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4867867	5054183	2022-08-04	4931	PRJNA852350	SAMN29328108
Escherichia albertii  	strain: 110_1_TBG_A	208962	ASM2453238v1	GCF_024532385.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4865452	4954548	2022-08-04	4827	PRJNA852350	SAMN29328107
Escherichia albertii  	strain: 105_1_LWG_A	208962	ASM2453240v1	GCF_024532405.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4778279	4838649	2022-08-04	4798	PRJNA852350	SAMN29328106
Escherichia albertii  	strain: 104_2_TS_A	208962	ASM2453242v1	GCF_024532425.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4657564	4657564	2022-08-04	4478	PRJNA852350	SAMN29328105
Escherichia coli  	strain: K-12 substr. MG1655	511145	ASM584v2	GCF_000005845.2	RefSeq	Annotation submitted by Univ. Wisconsin	Complete Genome	4641652	4641652	2013-09-26	4639	PRJNA225	SAMN02604091
Escherichia coli  	strain: CFT073	199310	ASM744v1	GCF_000007445.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5231428	5231428	2002-12-06	5072	PRJNA313	SAMN02604094
Escherichia coli  	strain: Sakai substr. RIMD 0509952	386585	ASM886v2	GCF_000008865.2	RefSeq	Annotation submitted by GIRC	Complete Genome	5498578	5594605	2018-06-08	5417	PRJNA226	SAMN01911278
Escherichia coli  	strain: BL21(DE3)	469008	ASM956v1	GCF_000009565.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4558947	4558947	2010-12-09	4431	PRJEA28965	SAMEA2272558
Escherichia coli  	strain: K-12 substr. W3110	316407	ASM1024v1	GCF_000010245.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4646332	4646332	2006-01-23	4509	PRJNA16351	SAMD00061081
Escherichia coli  	strain: SE11	409438	ASM1038v1	GCF_000010385.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4887515	5155626	2008-10-22	5079	PRJNA18057	SAMD00061087
Escherichia coli  	strain: SE15	431946	ASM1048v1	GCF_000010485.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4717338	4839683	2009-12-14	4667	PRJDA19053	SAMD00060923
Escherichia coli  	strain: 12009	585395	ASM1074v1	GCF_000010745.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5449314	5524860	2009-09-10	5541	PRJDA32511	SAMD00060956
Escherichia coli  	strain: 11128	585396	ASM1076v1	GCF_000010765.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5371077	5766081	2009-09-10	5869	PRJDA32513	SAMD00060957
Escherichia coli  	strain: UTI89	364106	ASM1326v1	GCF_000013265.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5065741	5179971	2006-04-05	5046	PRJNA16259	SAMN00000110
Escherichia coli  	strain: 536	362663	ASM1330v1	GCF_000013305.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4938920	4938920	2006-07-13	4708	PRJNA16235	SAMN02604181
Escherichia coli  	strain: APEC O1	405955	ASM1484v1	GCF_000014845.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5082025	5497653	2006-10-04	5440	PRJNA16718	SAMN02603424
Escherichia coli  	strain: E24377A	331111	ASM1774v1	GCF_000017745.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4979619	5249288	2007-09-11	5160	PRJNA13960	SAMN02604038
Escherichia coli  	strain: HS	331112	ASM1776v1	GCF_000017765.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4643538	4643538	2007-09-10	4480	PRJNA13959	SAMN02604037
Escherichia coli  	strain: REL606	413997	ASM1798v1	GCF_000017985.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4629812	4629812	2009-07-15	4484	PRJNA18281	SAMN02603421
Escherichia coli  	strain: ATCC 8739	481805	ASM1938v1	GCF_000019385.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4746218	4746218	2008-03-11	4548	PRJNA18083	SAMN02598405
Escherichia coli  	strain: K-12 substr. DH10B	316385	ASM1942v1	GCF_000019425.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4686137	4686137	2008-03-14	4571	PRJNA20079	SAMN02604262
Escherichia coli  	strain: SMS-3-5	439855	ASM1964v1	GCF_000019645.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5068389	5215377	2008-03-20	5022	PRJNA19469	SAMN02604066
Escherichia coli  	strain: EC4115	444450	ASM2112v1	GCF_000021125.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5572075	5704171	2008-10-08	5747	PRJNA27739	SAMN02603441
Escherichia coli  	strain: TW14359	544404	ASM2222v1	GCF_000022225.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5528136	5622737	2009-07-23	5643	PRJNA30045	SAMN02604255
Escherichia coli  	strain: K-12 substr. BW2952	595496	ASM2234v1	GCF_000022345.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4578159	4578159	2009-06-04	4467	PRJNA33775	SAMN02603900
Escherichia coli  	strain: BL21(DE3)	469008	ASM2266v1	GCF_000022665.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4558953	4558953	2010-05-17	4428	PRJNA20713	SAMN02603478
Escherichia coli  	strain: DH1	536056	ASM2336v1	GCF_000023365.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4630707	4630707	2009-10-05	4483	PRJNA30031	SAMN02598470
Escherichia coli  	strain: BL21-Gold(DE3)pLysS AG	866768	ASM2366v1	GCF_000023665.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4570938	4570938	2009-07-09	4457	PRJNA30681	SAMN00002656
Escherichia coli  	strain: CB9615	701177	ASM2516v1	GCF_000025165.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5386352	5452353	2010-03-08	5376	PRJNA42729	SAMN02603636
Escherichia coli  	strain: IHE3034	714962	ASM2574v1	GCF_000025745.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5108383	5108383	2010-04-12	5017	PRJNA43693	SAMN02603334
