Assembly Accession	Assembly Name	Organism Name	Annotation Name	Assembly Level	Assembly Release Date	Assembly Stats Number of Scaffolds	Assembly BioProject Accession	Assembly BioSample Accession
GCF_014722015.1	ASM1472201v1	Acinetobacter seifertii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-09-24	4.0	PRJNA662665	SAMN16092223
GCF_014723155.1	ASM1472315v1	Acinetobacter seifertii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-09-24	2.0	PRJNA662665	SAMN16092213
GCF_039725555.1	ASM3972555v1	Acinetobacter seifertii	GCF_039725555.1-RS_2024_05_22	Complete Genome	2024-05-24	6.0	PRJNA607827	SAMN15646566
GCF_018138965.1	ASM1813896v1	Acinetobacter seifertii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-25	1.0	PRJNA722603	SAMN18781100
GCF_014718955.1	ASM1471895v1	Acinetobacter seifertii	GCF_014718955.1-RS_2024_09_03	Complete Genome	2020-09-24	7.0	PRJNA662665	SAMN16092240
GCF_014723115.1	ASM1472311v1	Acinetobacter seifertii	GCF_014723115.1-RS_2024_09_03	Complete Genome	2020-09-24	3.0	PRJNA662665	SAMN16092216
GCF_014718155.1	ASM1471815v1	Acinetobacter seifertii	GCF_014718155.1-RS_2024_09_03	Complete Genome	2020-09-24	5.0	PRJNA662665	SAMN16092245
GCF_014721215.1	ASM1472121v1	Acinetobacter seifertii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-09-24	3.0	PRJNA662665	SAMN16092228
GCF_014717515.1	ASM1471751v1	Acinetobacter seifertii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-09-24	1.0	PRJNA662665	SAMN16092246
GCF_014717695.1	ASM1471769v1	Acinetobacter seifertii	GCF_014717695.1-RS_2024_09_03	Complete Genome	2020-09-24	7.0	PRJNA662665	SAMN16092247
GCF_014720075.1	ASM1472007v1	Acinetobacter seifertii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-09-24	2.0	PRJNA662665	SAMN16092235
GCF_014717935.1	ASM1471793v1	Acinetobacter seifertii	GCF_014717935.1-RS_2024_09_03	Complete Genome	2020-09-24	5.0	PRJNA662665	SAMN16092244
GCF_019355975.1	ASM1935597v1	Acinetobacter septicus	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2021-07-27	2.0	PRJNA231221	SAMN16357543
GCF_011578045.1	ASM1157804v1	Acinetobacter shaoyimingii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-03-20	1.0	PRJNA610137	SAMN14278074
GCF_003024515.2	ASM302451v2	Acinetobacter sichuanensis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-08-19		PRJNA387062	SAMN08772518
GCF_002135235.1	ASM213523v1	Acinetobacter silvestris	GCF_002135235.1-RS_2024_06_22	Contig	2017-05-15		PRJNA380882	SAMN06641970
GCF_018139125.1	ASM1813912v1	Acinetobacter soli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-25	2.0	PRJNA722602	SAMN18781099
GCF_001953195.1	ASM195319v1	Acinetobacter soli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-01-17	8.0	PRJNA336080	SAMN05554081
GCF_039545805.1	ASM3954580v1	Acinetobacter soli	GCF_039545805.1-RS_2024_05_07	Complete Genome	2024-05-08	1.0	PRJNA1097362	SAMN40869390
GCF_031592735.1	ASM3159273v1	Acinetobacter soli	GCF_031592735.1-RS_2024_09_20	Chromosome	2023-09-18	5.0	PRJNA1013791	SAMN37310997
GCF_900323515.1	KPC-SM-21	Acinetobacter stercoris	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-05-16		PRJEB25537	SAMEA104715460
GCF_008630915.1	ASM863091v1	Acinetobacter suaedae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-21	1.0	PRJNA565116	SAMN12734637
GCF_008867985.1	ASM886798v1	Acinetobacter tandoii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-10-07		PRJNA565663	SAMN12769619
GCF_002135195.1	ASM213519v1	Acinetobacter terrae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-05-15		PRJNA380882	SAMN06641966
GCF_004331155.1	ASM433115v1	Acinetobacter terrestris	GCF_004331155.1-RS_2024_04_27	Contig	2019-03-06		PRJNA380882	SAMN10994886
GCF_039867205.1	ASM3986720v1	Acinetobacter thermotolerans	GCF_039867205.1-RS_2024_05_28	Complete Genome	2024-05-28	3.0	PRJNA1041350	SAMN41318312
GCF_039866555.1	ASM3986655v1	Acinetobacter thermotolerans	GCF_039866555.1-RS_2024_05_28	Complete Genome	2024-05-28	6.0	PRJNA1041350	SAMN41318481
GCF_039862095.1	ASM3986209v1	Acinetobacter thermotolerans	GCF_039862095.1-RS_2024_05_28	Complete Genome	2024-05-28	7.0	PRJNA1041350	SAMN41318487
GCF_039863455.1	ASM3986345v1	Acinetobacter thermotolerans	GCF_039863455.1-RS_2024_05_28	Complete Genome	2024-05-28	4.0	PRJNA1041350	SAMN41318485
GCF_039864775.1	ASM3986477v1	Acinetobacter thermotolerans	GCF_039864775.1-RS_2024_05_28	Complete Genome	2024-05-28	4.0	PRJNA1041350	SAMN41318491
GCF_039862785.1	ASM3986278v1	Acinetobacter thermotolerans	GCF_039862785.1-RS_2024_05_28	Complete Genome	2024-05-28	6.0	PRJNA1041350	SAMN41318483
GCF_039864105.1	ASM3986410v1	Acinetobacter thermotolerans	GCF_039864105.1-RS_2024_05_27	Complete Genome	2024-05-28	2.0	PRJNA1041350	SAMN41318489
GCF_039865185.1	ASM3986518v1	Acinetobacter thermotolerans	GCF_039865185.1-RS_2024_05_28	Complete Genome	2024-05-28	2.0	PRJNA1041350	SAMN41318488
GCF_039860695.1	ASM3986069v1	Acinetobacter thermotolerans	GCF_039860695.1-RS_2024_05_27	Complete Genome	2024-05-28	2.0	PRJNA1041350	SAMN41318484
GCF_039861365.1	ASM3986136v1	Acinetobacter thermotolerans	GCF_039861365.1-RS_2024_05_28	Complete Genome	2024-05-28	4.0	PRJNA1041350	SAMN41318490
GCF_039865415.1	ASM3986541v1	Acinetobacter thermotolerans	GCF_039865415.1-RS_2024_05_28	Complete Genome	2024-05-28	2.0	PRJNA1041350	SAMN41318486
GCF_039865765.1	ASM3986576v1	Acinetobacter thermotolerans	GCF_039865765.1-RS_2024_05_27	Complete Genome	2024-05-28	3.0	PRJNA1041350	SAMN41318482
GCF_030385805.1	ASM3038580v1	Acinetobacter thutiue	GCF_030385805.1-RS_2024_07_03	Scaffold	2023-07-02	27.0	PRJNA984409	SAMN35766781
GCF_003611465.1	ASM361146v1	Acinetobacter tianfuensis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-10-04		PRJNA387062	SAMN09842372
GCF_023824315.1	ASM2382431v1	Acinetobacter tibetensis	GCF_023824315.1-RS_2024_06_25	Complete Genome	2022-06-15	2.0	PRJNA837216	SAMN28192584
GCF_000759995.1	ASM75999v1	Acinetobacter tjernbergiae	GCF_000759995.1-RS_2024_08_08	Contig	2014-09-26		PRJDB1754	SAMD00019899
GCF_017498585.1	ASM1749858v1	Acinetobacter towneri	GCF_017498585.1-RS_2024_03_28	Complete Genome	2021-03-21	3.0	PRJNA669159	SAMN16439931
GCF_032820875.1	ASM3282087v1	Acinetobacter towneri	GCF_032820875.1-RS_2024_10_25	Complete Genome	2023-10-18	5.0	PRJNA949389	SAMN33787961
GCF_021432045.1	ASM2143204v1	Acinetobacter towneri	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-11	4.0	PRJNA793744	SAMN24582573
GCF_040436385.1	ASM4043638v1	Acinetobacter towneri	GCF_040436385.1-RS_2024_07_02	Complete Genome	2024-07-02	6.0	PRJDB10427	SAMD00775682
GCF_017498625.1	ASM1749862v1	Acinetobacter towneri	GCF_017498625.1-RS_2024_04_01	Complete Genome	2021-03-21	2.0	PRJNA669159	SAMN16439933
GCF_009676805.1	ASM967680v1	Acinetobacter towneri	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-20	3.0	PRJNA588381	SAMN13242673
GCF_033557205.1	ASM3355720v1	Acinetobacter towneri	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-13	5.0	PRJNA913302	SAMN32291813
GCF_012220585.1	ASM1222058v1	Acinetobacter towneri	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-09	5.0	PRJNA601288	SAMN13864944
GCF_017498605.1	ASM1749860v1	Acinetobacter towneri	GCF_017498605.1-RS_2024_03_29	Complete Genome	2021-03-21	2.0	PRJNA669159	SAMN16439932
GCF_022700695.1	ASM2270069v1	Acinetobacter towneri	GCF_022700695.1-RS_2024_04_01	Chromosome	2022-03-28	2.0	PRJNA663756	SAMN16178483
GCF_022700715.1	ASM2270071v1	Acinetobacter towneri	GCF_022700715.1-RS_2024_03_29	Chromosome	2022-03-28	2.0	PRJNA663756	SAMN16178484
GCF_016726205.1	ASM1672620v1	Acinetobacter ursingii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-20	5.0	PRJNA231221	SAMN16357264
GCF_025723105.1	ASM2572310v1	Acinetobacter ursingii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-17	6.0	PRJNA785437	SAMN23563199
GCF_025723125.1	ASM2572312v1	Acinetobacter ursingii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-17	7.0	PRJNA785437	SAMN23563198
GCF_041501495.1	Acinetobacter ursingii strain E5131942 complete genome sequence	Acinetobacter ursingii	GCF_041501495.1-RS_2024_08_28	Complete Genome	2024-08-29	6.0	PRJNA1149802	SAMN43259723
GCF_003966675.1	ASM396667v1	Acinetobacter ursingii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-07-27	3.0	PRJDB7166	SAMD00129509
GCF_025723145.1	ASM2572314v1	Acinetobacter ursingii	GCF_025723145.1-RS_2024_10_26	Complete Genome	2022-10-17	7.0	PRJNA785437	SAMN23563197
GCF_016726345.1	ASM1672634v1	Acinetobacter ursingii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-20	5.0	PRJNA231221	SAMN16357265
GCF_000369885.1	Acin_ursi_NIPH_706_V1	Acinetobacter ursingii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2013-04-19	20.0	PRJNA183281	SAMN01087838
GCF_030518655.1	ASM3051865v1	Acinetobacter variabilis	GCF_030518655.1-RS_2024_07_22	Complete Genome	2023-07-23	7.0	PRJNA995064	SAMN36465267
GCF_003938405.2	ASM393840v2	Acinetobacter variabilis	GCF_003938405.2-RS_2024_03_29	Complete Genome	2021-07-20	6.0	PRJNA497126	SAMN10248995
GCF_020099375.1	ASM2009937v1	Acinetobacter variabilis	GCF_020099375.1-RS_2024_03_29	Complete Genome	2021-09-23	5.0	PRJNA231221	SAMN21218843
GCF_018409485.1	ASM1840948v1	Acinetobacter variabilis	GCF_018409485.1-RS_2024_03_28	Complete Genome	2021-03-29	1.0	PRJDB10565	SAMD00246909
GCF_025398455.1	ASM2539845v1	Acinetobacter variabilis	GCF_025398455.1-RS_2024_03_29	Complete Genome	2022-09-25	8.0	PRJNA812595	SAMN19317614
GCF_016607565.1	ASM1660756v1	Acinetobacter variabilis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-11	6.0	PRJNA660300	SAMN15944884
GCF_044784395.1	ASM4478439v1	Acinetobacter venetianus	GCF_044784395.1-RS_2024_11_12	Complete Genome	2024-11-20	1.0	PRJNA1180747	SAMN44527759
GCF_000368585.1	Acin_vene_CIP_110063_V1	Acinetobacter venetianus	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2013-04-19	5.0	PRJNA183297	SAMN01087854
GCF_000308235.1	ASM30823v2	Acinetobacter venetianus	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2013-01-18	2.0	PRJNA168177	SAMN02471758
GCF_014635885.1	ASM1463588v1	Acinetobacter vivianii	GCF_014635885.1-RS_2024_09_09	Contig	2020-09-12		PRJDB10511	SAMD00244885
GCF_020673335.1	ASM2067333v1	Acinetobacter vivianii	GCF_020673335.1-RS_2024_03_29	Complete Genome	2021-10-28	1.0	PRJNA768638	SAMN22059268
GCF_009557235.1	ASM955723v1	Acinetobacter wanghuae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-05	1.0	PRJNA579749	SAMN13118455
GCF_001696605.3	ASM169660v3	Acinetobacter wuhouensis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-08-26	8.0	PRJNA387062	SAMN05356836
GCF_002165345.2	ASM216534v2	Acinetobacter wuhouensis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-10-29	16.0	PRJNA387062	SAMN07138954
GCF_902499175.1	ASM90249917v1	Burkholderia aenigmatica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-04-25		PRJEB33447	SAMEA5795692
GCF_021899435.1	ASM2189943v1	Burkholderia aenigmatica	GCF_021899435.1-RS_2024_03_17	Complete Genome	2022-02-03	4.0	PRJNA799868	SAMN25211101
GCF_034721475.1	ASM3472147v1	Burkholderia alba	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-12-27	204.0	PRJNA1027102	SAMN37776913
GCF_038782865.1	CAMS_ALBA_1.1	Burkholderia ambifaria	GCF_038782865.1-RS_2024_05_01	Complete Genome	2024-05-01	3.0	PRJNA1101848	SAMN41003259
GCF_016458785.1	ASM1645878v1	Burkholderia ambifaria	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-03	7.0	PRJNA686819	SAMN17082921
GCF_043193125.1	ASM4319312v1	Burkholderia ambifaria	GCF_043193125.1-RS_2024_10_16	Complete Genome	2024-10-18	3.0	PRJNA1035503	SAMN38091574
GCF_020843985.1	ASM2084398v1	Burkholderia ambifaria	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-12	3.0	PRJNA775892	SAMN22635685
GCF_020843905.1	ASM2084390v1	Burkholderia ambifaria	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-12	3.0	PRJNA775892	SAMN22635689
GCF_020843925.1	ASM2084392v1	Burkholderia ambifaria	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-12	4.0	PRJNA775892	SAMN22635687
GCF_026958255.1	ASM2695825v1	Burkholderia ambifaria	GCF_026958255.1-RS_2024_07_08	Complete Genome	2022-12-16	3.0	PRJNA782308	SAMN23371909
GCF_026683835.2	ASM2668383v2	Burkholderia ambifaria	GCF_026683835.2-RS_2024_04_04	Complete Genome	2024-03-29	3.0	PRJNA896258	SAMN31539757
GCF_026683855.2	ASM2668385v2	Burkholderia ambifaria	GCF_026683855.2-RS_2024_04_09	Complete Genome	2024-04-03	3.0	PRJNA896258	SAMN31539755
GCF_026683875.2	ASM2668387v2	Burkholderia ambifaria	GCF_026683875.2-RS_2024_04_04	Complete Genome	2024-03-29	3.0	PRJNA896258	SAMN31539756
GCF_016127755.1	ASM1612775v1	Burkholderia ambifaria	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-20	4.0	PRJNA231221	SAMN16357196
GCF_026683795.2	ASM2668379v2	Burkholderia ambifaria	GCF_026683795.2-RS_2024_04_09	Chromosome	2024-04-04	2.0	PRJNA896258	SAMN31539758
GCF_026314985.1	ASM2631498v1	Burkholderia ambifaria	GCF_026314985.1-RS_2024_03_29	Chromosome	2022-11-23	3.0	PRJNA896258	SAMN31687186
GCF_026314965.1	ASM2631496v1	Burkholderia ambifaria	GCF_026314965.1-RS_2024_03_29	Chromosome	2022-11-23	3.0	PRJNA896258	SAMN31687187
GCF_000959545.1	ASM95954v1	Burkholderia ambifaria	GCF_000959545.1-RS_2024_06_16	Complete Genome	2015-03-20	4.0	PRJNA240122	SAMN03140296
GCF_000203915.1	ASM20391v1	Burkholderia ambifaria	GCF_000203915.1-RS_2024_04_19	Complete Genome	2006-09-21	4.0	PRJNA13490	SAMN02598309
GCF_000019925.1	ASM1992v1	Burkholderia ambifaria	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2008-04-03	4.0	PRJNA17411	SAMN02598385
GCF_902498995.1	ASM90249899v1	Burkholderia anthina	GCF_902498995.1-RS_2024_04_27	Contig	2020-04-25		PRJEB33447	SAMEA5780075
GCF_016458805.1	ASM1645880v1	Burkholderia anthina	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-03	2.0	PRJNA686829	SAMN17126017
GCF_044501195.1	ASM4450119v1	Burkholderia anthina	GCF_044501195.1-RS_2024_11_06	Complete Genome	2024-11-06	4.0	PRJNA1134685	SAMN42431382
GCF_017514945.1	ASM1751494v1	Burkholderia anthina	GCF_017514945.1-RS_2024_04_19	Complete Genome	2021-03-22	5.0	PRJNA714618	SAMN18313708
GCF_030374675.1	ASM3037467v1	Burkholderia anthina	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-06-29	4.0	PRJNA878512	SAMN31055413
GCF_001547525.1	ASM154752v1	Burkholderia anthina	GCF_001547525.1-RS_2024_05_31	Chromosome	2016-02-08	4.0	PRJNA279182	SAMN03449213
GCF_002925705.1	ASM292570v1	Burkholderia anthinoferrum	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-02-12	100.0	PRJNA288828	SAMN03839009
GCF_038723655.1	ASM3872365v1	Burkholderia arboris	GCF_038723655.1-RS_2024_05_03	Complete Genome	2024-05-03	3.0	PRJNA891013	SAMN31305798
GCF_024381035.1	ASM2438103v1	Burkholderia arboris	GCF_024381035.1-RS_2024_03_29	Complete Genome	2022-07-24	3.0	PRJNA856119	SAMN29515327
GCF_001883705.2	ASM188370v2	Burkholderia catarinensis	GCF_001883705.2-RS_2024_08_29	Contig	2021-07-22		PRJNA338131	SAMN05521522
GCF_001718895.1	ASM171889v1	Burkholderia cenocepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-02	3.0	PRJNA279182	SAMN03449602
GCF_001999785.1	ASM199978v1	Burkholderia cenocepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-02-15	1.0	PRJNA289138	SAMN05001925
GCF_001606135.1	ASM160613v1	Burkholderia cenocepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-04-04	3.0	PRJNA316047	SAMN04574071
GCF_001999825.1	ASM199982v1	Burkholderia cenocepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-02-15	2.0	PRJNA289138	SAMN05001933
GCF_039728355.1	ASM3972835v1	Burkholderia cenocepacia	GCF_039728355.1-RS_2024_05_22	Complete Genome	2024-05-24	5.0	PRJNA1110801	SAMN41377768
GCF_021535065.1	ASM2153506v1	Burkholderia cenocepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-20	4.0	PRJNA795854	SAMN24782180
GCF_018223805.1	ASM1822380v1	Burkholderia cenocepacia	GCF_018223805.1-RS_2024_05_18	Complete Genome	2021-05-02	3.0	PRJNA724802	SAMN18839526
GCF_025643575.1	ASM2564357v1	Burkholderia cenocepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-11	4.0	PRJNA852277	SAMN29271625
GCF_014357995.1	ASM1435799v1	Burkholderia cenocepacia	GCF_014357995.1-RS_2024_10_16	Complete Genome	2020-09-01	4.0	PRJNA627986	SAMN14693155
GCF_018228625.1	ASM1822862v1	Burkholderia cenocepacia	GCF_018228625.1-RS_2024_05_18	Complete Genome	2021-05-03	6.0	PRJNA724802	SAMN18839525
GCF_018223765.1	ASM1822376v1	Burkholderia cenocepacia	GCF_018223765.1-RS_2024_05_18	Complete Genome	2021-05-02	5.0	PRJNA724802	SAMN18839524
GCF_023374855.1	ASM2337485v1	Burkholderia cenocepacia	GCF_023374855.1-RS_2024_05_31	Complete Genome	2022-05-16	3.0	PRJNA748922	SAMN20348570
GCF_023374835.1	ASM2337483v1	Burkholderia cenocepacia	GCF_023374835.1-RS_2024_05_31	Complete Genome	2022-05-16	3.0	PRJNA748922	SAMN20348572
GCF_023374335.1	ASM2337433v1	Burkholderia cenocepacia	GCF_023374335.1-RS_2024_05_31	Complete Genome	2022-05-16	3.0	PRJNA748922	SAMN20348617
GCF_001606115.1	ASM160611v1	Burkholderia cenocepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-04-04	4.0	PRJNA315790	SAMN04570263
GCF_002007585.1	ASM200758v1	Burkholderia cenocepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-02-28	3.0	PRJNA342374	SAMN05756084
GCF_001484665.1	ASM148466v1	Burkholderia cenocepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-01-04	4.0	PRJNA274219	SAMN03323790
GCF_003966315.1	ASM396631v1	Burkholderia cenocepacia	GCF_003966315.1-RS_2024_05_23	Complete Genome	2018-12-24	3.0	PRJNA491642	SAMN10081159
GCF_001999885.1	ASM199988v1	Burkholderia cenocepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-02-15	4.0	PRJNA289138	SAMN05001912
GCF_014211915.1	ASM1421191v1	Burkholderia cenocepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-08-16	4.0	PRJNA272893	SAMN03287647
GCF_003076415.1	ASM307641v1	Burkholderia cenocepacia	GCF_003076415.1-RS_2024_05_06	Complete Genome	2018-05-01	3.0	PRJNA384579	SAMN06842015
GCF_001999805.1	ASM199980v1	Burkholderia cenocepacia	GCF_001999805.1-RS_2024_10_16	Chromosome	2017-02-15	4.0	PRJNA289138	SAMN05001798
GCF_012273415.1	ASM1227341v1	Burkholderia cenocepacia	GCF_012273415.1-RS_2024_07_25	Chromosome	2020-04-12	2.0	PRJNA231221	SAMN11056435
GCF_013349105.1	ASM1334910v1	Burkholderia cenocepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2020-06-18	4.0	PRJNA231221	SAMN11056449
GCF_001999925.1	ASM199992v1	Burkholderia cenocepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2017-02-15	4.0	PRJNA289138	SAMN05001969
GCF_002083015.1	ASM208301v1	Burkholderia cenocepacia	GCF_002083015.1-RS_2024_07_16	Chromosome	2017-04-10	3.0	PRJNA379546	SAMN06611151
GCF_023704255.1	ASM2370425v1	Burkholderia cenocepacia	GCF_023704255.1-RS_2024_06_16	Chromosome	2022-06-13	3.0	PRJNA843523	SAMN28745300
GCF_023896215.1	ASM2389621v1	Burkholderia cenocepacia	GCF_023896215.1-RS_2024_07_03	Chromosome	2022-06-23	4.0	PRJNA748922	SAMN20348571
GCF_023896315.1	ASM2389631v1	Burkholderia cenocepacia	GCF_023896315.1-RS_2024_07_03	Chromosome	2022-06-23	4.0	PRJNA748922	SAMN20348587
GCF_000236215.2	ASM23621v4	Burkholderia cenocepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-04-25	3.0	PRJNA69823	SAMEA3138403
GCF_000203955.1	ASM20395v1	Burkholderia cenocepacia	GCF_000203955.1-RS_2024_05_31	Complete Genome	2006-10-25	4.0	PRJNA13918	SAMN00113327
GCF_000009485.1	ASM948v1	Burkholderia cenocepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2008-06-19	4.0	PRJNA339	SAMEA1705928
GCF_009586235.1	ASM958623v1	Burkholderia cepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-10-29	3.0	PRJNA561256	SAMN12612766
GCF_023374475.1	ASM2337447v1	Burkholderia cepacia	GCF_023374475.1-RS_2024_05_31	Complete Genome	2022-05-16	2.0	PRJNA748922	SAMN20348603
GCF_021344035.2	ASM2134403v2	Burkholderia cepacia	GCF_021344035.2-RS_2024_08_13	Complete Genome	2024-08-14	4.0	PRJNA792752	SAMN24462211
GCF_001718395.1	ASM171839v1	Burkholderia cepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-02	2.0	PRJNA279182	SAMN03449179
GCF_023053515.1	ASM2305351v1	Burkholderia cepacia	GCF_023053515.1-RS_2024_05_08	Complete Genome	2022-04-19	3.0	PRJNA825821	SAMN27545478
GCF_023374675.1	ASM2337467v1	Burkholderia cepacia	GCF_023374675.1-RS_2024_05_31	Complete Genome	2022-05-16	3.0	PRJNA748922	SAMN20348582
GCF_023374715.1	ASM2337471v1	Burkholderia cepacia	GCF_023374715.1-RS_2024_05_31	Complete Genome	2022-05-16	3.0	PRJNA748922	SAMN20348580
GCF_021484945.1	ASM2148494v1	Burkholderia cepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-16	3.0	PRJNA794967	SAMN24665687
GCF_028462305.2	ASM2846230v2	Burkholderia cepacia	GCF_028462305.2-RS_2024_07_30	Complete Genome	2024-07-30	3.0	PRJNA561493	SAMN31654598
GCF_001718835.1	ASM171883v1	Burkholderia cepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-02	3.0	PRJNA279182	SAMN03449447
GCF_014854795.1	ASM1485479v1	Burkholderia cepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-10-06	3.0	PRJNA438725	SAMN08724754
GCF_024600575.1	ASM2460057v1	Burkholderia cepacia	GCF_024600575.1-RS_2024_08_24	Complete Genome	2022-08-09	3.0	PRJNA863394	SAMN30032823
GCF_002209085.2	ASM220908v2	Burkholderia cepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-03-08	4.0	PRJNA231221	SAMN06173358
GCF_002407525.2	ASM240752v3	Burkholderia cepacia	GCF_002407525.2-RS_2024_07_24	Complete Genome	2017-09-28	4.0	PRJNA231221	SAMN07312432
GCF_033675325.1	ASM3367532v1	Burkholderia cepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-15	4.0	PRJNA438725	SAMN08724755
GCF_041070875.1	ASM4107087v1	Burkholderia cepacia	GCF_041070875.1-RS_2024_08_07	Complete Genome	2024-08-07	3.0	PRJNA1141197	SAMN42883091
GCF_029962485.1	ASM2996248v1	Burkholderia cepacia	GCF_029962485.1-RS_2024_06_07	Complete Genome	2023-05-10	3.0	PRJNA723984	SAMN18838426
GCF_033675345.1	ASM3367534v1	Burkholderia cepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2023-11-15	3.0	PRJNA438725	SAMN08724753
GCF_001411495.1	ASM141149v1	Burkholderia cepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-10-22	4.0	PRJNA298860	SAMN04167160
GCF_006094315.1	ASM609431v1	Burkholderia cepacia	GCF_006094315.1-RS_2024_05_17	Complete Genome	2019-06-06	5.0	PRJNA509990	SAMN10591700
